Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C51, C52, C53, C54, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C7, C8, C9",0603,64,0.1uF,
"D1, D11, D13, D15, D17, D19, D21, D23, D25, D27, D29, D3, D31, D33, D35, D37, D39, D41, D43, D45, D47, D49, D5, D51, D53, D55, D57, D59, D61, D63, D7, D9",0603,32,Blue,
"D10, D12, D14, D16, D18, D2, D20, D22, D24, D26, D28, D30, D32, D34, D36, D38, D4, D40, D42, D44, D46, D48, D50, D52, D54, D56, D58, D6, D60, D62, D64, D8",0603,32,Green,
"J1, J10, J13, J16, J19, J22, J25, J28, J31, J34, J37, J4, J40, J43, J46, J49, J52, J55, J58, J61, J64, J67, J7, J70, J73, J76, J79, J82, J85, J88, J91, J94",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,32,USB_C_Receptacle_USB2.0_16P,
"J11, J14, J17, J2, J20, J23, J26, J29, J32, J35, J38, J41, J44, J47, J5, J50, J53, J56, J59, J62, J65, J68, J71, J74, J77, J8, J80, J83, J86, J89, J92, J95",Wuerth_WR-WTB_64800611622_1x06_P1.50mm_Vertical,32,Conn_01x06_Pin,
"J12, J15, J18, J21, J24, J27, J3, J30, J33, J36, J39, J42, J45, J48, J51, J54, J57, J6, J60, J63, J66, J69, J72, J75, J78, J81, J84, J87, J9, J90, J93, J96",PinSocket_1x02_P1.00mm_Vertical,32,BOOT,
"R1, R10, R105, R106, R113, R114, R121, R122, R129, R130, R137, R138, R145, R146, R153, R154, R161, R162, R169, R17, R170, R177, R178, R18, R185, R186, R193, R194, R2, R201, R202, R209, R210, R217, R218, R225, R226, R233, R234, R241, R242, R249, R25, R250, R26, R33, R34, R41, R42, R49, R50, R57, R58, R65, R66, R73, R74, R81, R82, R89, R9, R90, R97, R98",0603,64,5.1kΩ,
"R100, R107, R108, R11, R115, R116, R12, R123, R124, R131, R132, R139, R140, R147, R148, R155, R156, R163, R164, R171, R172, R179, R180, R187, R188, R19, R195, R196, R20, R203, R204, R211, R212, R219, R220, R227, R228, R235, R236, R243, R244, R251, R252, R27, R28, R3, R35, R36, R4, R43, R44, R51, R52, R59, R60, R67, R68, R75, R76, R83, R84, R91, R92, R99",0603,64,1kΩ,
"R101, R109, R117, R125, R13, R133, R141, R149, R157, R165, R173, R181, R189, R197, R205, R21, R213, R221, R229, R237, R245, R253, R29, R37, R45, R5, R53, R61, R69, R77, R85, R93",0603,32,10kΩ,
"R102, R103, R104, R110, R111, R112, R118, R119, R120, R126, R127, R128, R134, R135, R136, R14, R142, R143, R144, R15, R150, R151, R152, R158, R159, R16, R160, R166, R167, R168, R174, R175, R176, R182, R183, R184, R190, R191, R192, R198, R199, R200, R206, R207, R208, R214, R215, R216, R22, R222, R223, R224, R23, R230, R231, R232, R238, R239, R24, R240, R246, R247, R248, R254, R255, R256, R30, R31, R32, R38, R39, R40, R46, R47, R48, R54, R55, R56, R6, R62, R63, R64, R7, R70, R71, R72, R78, R79, R8, R80, R86, R87, R88, R94, R95, R96",0603,96,100Ω,
"U1, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U2, U20, U21, U22, U23, U24, U25, U26, U27, U28, U29, U3, U30, U31, U32, U4, U5, U6, U7, U8, U9",MSOP-10_3x3mm_P0.5mm,32,CH552E,
